Song, Artist 
Gangnam Style,PSY
To Turn Back Hands of Time,Lyn
Loving U,SISTAR
Lovey-Dovey,T-ara
Alone,SISTAR
My Love,Lee Jong Hyun
Cherry Blossom Ending,Busker Busker
All For You,Seo In Kook, Jeong Eun Ji
Fantastic Baby,BIGBANG
I Love You,2NE1
Blue,BIGBANG
Heaven,Ailee
Day By Day,T-ara
Please Don't,K.Will
Trouble Maker,HyunA & Jang Hyun Seung
You and I,IU
Only One,BoA
What Should Have Been,Psy (Feat. Lena Park)
I Need You,Huh Gak ,Zia
Passionate Goodbye,Psy (Feat.Sung Si-Kyung)
I Will Show You,Ailee
Every End Of The Day,IU
Beautiful Night,BEAST
Twinkle,Girls' Generation-TTS
Memory Of The Wind,Naul
We Used To Be In Love,Davichi & T-ara
Sorrow,10cm
Did You Forget,Lee Seung Chul
Missing You,G-Dragon Featuring Kim Yuna
After Turning Into Dust,Jung Joon Young & Roy Kim
illa illa,JUNIEL
LIPSTICK,Orange Caramel
Touch,miss A
My Heart Hurts,Lee Hyun (8Eight)
Electric Shock,f(x)
Voice,Baek Ji Young (Feat. Garie of Leessang)
Volume Up,4Minute
Fiercely,FTISLAND
Sexy Love,T-ara
If You Really Love Me,Busker Busker
First Love,Busker Busker
Yeosu Night Sea,Busker Busker
Bloom,Ga In (of Brown Eyed Girls)
Crayon,G-Dragon
That XX,G-Dragon
I Wonder If You Hurt Like Me,2AM
I'll Think of You,Davichi
I Need You,K.Will
I Will Love You,Hyorin
I Don't Need Man,miss A
Without You,Dynamic Duo
When I Can't Sing,Se7en
Like This,Wonder Girls
It's Cold,Epik High Featuring Lee Hi
Do Men Cry,Davichi
MONSTER,BIGBANG
So Cute,Byul (With Kwon Jung Yeol of 10cm)
Pandora,KARA
One Person,Huh Gak
Good Boy,Baek Ji Young (Feat Yong Jun Hyung of BEAST)
Midnight,BEAST
I Don't Care,Brave Guys (Feat. Seo Su Min PD)
Bad Boy,BIGBANG
To Live,Noel
Officially Missing You, Too,Geeks, SoYu
Going Crazy,Teen Top
The Story of a Tall Bachelor,Jung Jun Ha
I Knew It,BEAST
Falling,John Park
One Person Back Then,Kim Soo Hyun
She's Gone,December
You're the one,JYP
2HOT,G.NA
Pretty Enough,Verbal Jint (Feat. Sanchez)
Beautiful Night,ULALA SESSION
Love Is All The Same,Yangpa & Davichi & HANNA
After a Long Time,Baek Ji Young
It's War,MBLAQ
Cry Cry,T-ara
Just The Way We Love,Seo In Kook, Jeong Eun Ji
Hands Of The Clock,Shinyoo
POISON,Secret
? (Q Mark),Primary (Feat. Choiza of Dynamic Duo, Zion.T)
Peach,IU
The Chaser,INFINITE
Things that I couldn't say,Noel
Love Is Like A Snowflake,XIA
Teddy Bear,Lyn
Sherlock (Clue + Note),SHINee
Ice Cream,HyunA (4 Minute) (Feat. Maboos)
Moonlight Sets,Heora
Love Day,Yang Yo Seob & Jung Eun Ji
Love Dust,BIGBANG
Amateur,Lee Seung Chul
I'm Upset,Zia
Someone Else,JYP (With Ga In)
